Year,player,age,team_id,pos,votes,pct_of_vote,first,second,third,fourth,fifth,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
1999,Dominik Hasek,34,Buffalo Sabres,G,172,30.71,4,10,8,5,7,0,0,0,0,30,18,14,1.87,.937,0.0,0.0,16.8,16.8
1999,Curtis Joseph,31,Toronto Maple Leafs,G,118,21.07,1,5,10,7,2,0,5,5,0,35,24,7,2.56,.910,0.0,0.0,11.6,11.6
1999,Teemu Selanne,28,Mighty Ducks of Anaheim,RW,111,19.82,0,3,14,5,5,47,60,107,18,,,,,,11.6,2.7,0.0,14.3
1999,Eric Lindros,25,Philadelphia Flyers,C,77,13.75,0,4,5,6,6,40,53,93,35,,,,,,9.2,3.1,0.0,12.4
1999,Peter Forsberg,25,Colorado Avalanche,C,61,10.89,0,3,4,5,5,30,67,97,27,,,,,,8.0,2.8,0.0,10.8
1999,Paul Kariya,24,Mighty Ducks of Anaheim,LW,48,8.57,0,2,2,6,6,39,62,101,17,,,,,,9.1,3.1,0.0,12.2
1999,Byron Dafoe,27,Boston Bruins,G,40,7.14,0,1,1,7,7,0,2,2,0,32,23,11,2.00,.926,0.0,0.0,14.1,14.1
1999,Al MacInnis,35,St. Louis Blues,D,24,4.29,0,1,1,3,3,20,42,62,33,,,,,,6.0,7.7,0.0,13.6
1999,Mike Modano,28,Dallas Stars,C,13,2.32,0,0,0,3,4,34,47,81,29,,,,,,7.6,3.1,0.0,10.7
1999,Pavol Demitra,24,St. Louis Blues,LW,7,1.25,0,0,0,2,1,37,52,89,13,,,,,,8.5,2.2,0.0,10.7
1999,Steve Yzerman,33,Detroit Red Wings,C,7,1.25,0,0,1,0,2,29,45,74,8,,,,,,5.8,2.0,0.0,7.8
1999,Ron Tugnutt,31,Ottawa Senators,G,4,0.71,0,0,0,1,1,0,0,0,0,22,10,8,1.79,.925,0.0,0.0,7.8,7.8
1999,Joe Sakic,29,Colorado Avalanche,C,3,0.54,0,0,0,1,0,41,55,96,23,,,,,,8.9,2.7,0.0,11.6
1999,Martin Brodeur,26,New Jersey Devils,G,1,0.18,0,0,0,0,1,0,4,4,0,39,21,10,2.29,.906,0.0,0.0,9.8,9.8
1999,Mats Sundin,27,Toronto Maple Leafs,C,1,0.18,0,0,0,0,1,31,52,83,22,,,,,,7.2,1.7,0.0,8.9
2000,Chris Pronger,25,St. Louis Blues,D,396,68.28,25,9,11,8,4,14,48,62,52,,,,,,5.2,9.6,0.0,14.8
2000,Jaromir Jagr,27,Pittsburgh Penguins,RW,395,68.10,18,22,9,4,4,42,54,96,25,,,,,,9.9,2.3,0.0,12.2
2000,Pavel Bure,28,Florida Panthers,RW,346,59.66,11,18,16,9,3,58,36,94,25,,,,,,10.7,2.8,0.0,13.5
2000,Olaf Kolzig,29,Washington Capitals,G,139,23.97,2,3,12,10,8,0,2,2,0,41,20,11,2.24,.917,0.0,0.0,14.6,14.6
2000,Owen Nolan,27,San Jose Sharks,RW,62,10.69,1,0,3,7,16,44,40,84,-1,,,,,,8.6,1.8,0.0,10.5
2000,Mark Recchi,31,Philadelphia Flyers,RW,30,5.17,0,1,2,3,4,28,63,91,20,,,,,,7.6,3.1,0.0,10.7
2000,Roman Turek,29,St. Louis Blues,G,30,5.17,0,2,1,3,2,0,1,1,0,42,15,9,1.95,.912,0.0,0.0,10.2,10.2
2000,Steve Yzerman,34,Detroit Red Wings,C,26,4.48,1,0,1,3,2,35,44,79,28,,,,,,7.3,2.5,0.0,9.8
2000,Nicklas Lidstrom,29,Detroit Red Wings,D,22,3.79,0,1,0,4,3,20,53,73,19,,,,,,7.1,5.8,0.0,13.0
2000,Mike Modano,29,Dallas Stars,C,21,3.62,0,2,0,2,1,38,43,81,0,,,,,,7.3,2.5,0.0,9.7
2000,Curtis Joseph,32,Toronto Maple Leafs,G,16,2.76,0,0,2,1,3,0,1,1,0,36,20,7,2.49,.915,0.0,0.0,13.4,13.4
2000,Martin Brodeur,27,New Jersey Devils,G,6,1.03,0,0,0,1,3,1,4,5,0,43,20,8,2.24,.910,0.0,0.0,12.1,12.1
2000,Chris Simon,28,Washington Capitals,LW,5,0.86,0,0,1,0,0,29,20,49,11,,,,,,4.9,1.6,0.0,6.6
2000,Joe Sakic,30,Colorado Avalanche,C,4,0.69,0,0,0,1,1,28,53,81,30,,,,,,7.4,2.7,0.0,10.1
2000,Brendan Shanahan,31,Detroit Red Wings,LW,3,0.52,0,0,0,1,0,41,37,78,24,,,,,,8.3,2.2,0.0,10.5
2000,Ed Belfour,34,Dallas Stars,G,3,0.52,0,0,0,0,3,0,3,3,0,32,21,7,2.10,.919,0.0,0.0,12.1,12.1
2000,Patrik Elias,23,New Jersey Devils,LW,1,0.17,0,0,0,0,1,35,37,72,16,,,,,,7.4,2.0,0.0,9.4
2000,Dominik Hasek,35,Buffalo Sabres,G,1,0.17,0,0,0,0,1,0,1,1,0,15,11,6,2.21,.919,0.0,0.0,7.2,7.2
2000,Jarome Iginla,22,Calgary Flames,RW,1,0.17,0,0,0,0,1,29,34,63,0,,,,,,5.4,1.5,0.0,7.0
2000,Adam Oates,37,Washington Capitals,C,1,0.17,0,0,0,0,1,15,56,71,13,,,,,,3.9,2.4,0.0,6.3
2001,Joe Sakic,31,Colorado Avalanche,C,582,93.87,53,6,2,1,0,54,64,118,45,,,,,,12.2,3.6,0.0,15.9
2001,Mario Lemieux,35,Pittsburgh Penguins,C,272,43.87,8,17,10,6,5,35,41,76,15,,,,,,8.3,1.3,0.0,9.5
2001,Jaromir Jagr,28,Pittsburgh Penguins,RW,210,33.87,0,20,10,5,5,52,69,121,19,,,,,,12.1,2.0,0.0,14.1
2001,Roman Cechmanek,29,Philadelphia Flyers,G,89,14.35,0,2,8,10,5,0,1,1,0,35,15,6,2.01,.921,0.0,0.0,11.9,11.9
2001,Martin Brodeur,28,New Jersey Devils,G,64,10.32,0,4,4,4,4,0,1,1,0,42,17,11,2.32,.906,0.0,0.0,11.3,11.3
2001,Patrik Elias,24,New Jersey Devils,LW,61,9.84,0,3,4,5,5,40,56,96,45,,,,,,9.5,3.0,0.0,12.5
2001,Doug Weight,30,Edmonton Oilers,C,61,9.84,0,2,7,2,6,25,65,90,12,,,,,,6.8,2.2,0.0,9.0
2001,Dominik Hasek,36,Buffalo Sabres,G,42,6.77,0,3,2,3,2,0,3,3,0,37,24,4,2.11,.921,0.0,0.0,13.9,13.9
2001,Pavel Bure,29,Florida Panthers,RW,41,6.61,0,0,4,5,6,59,33,92,-2,,,,,,9.5,2.4,0.0,11.9
2001,Nicklas Lidstrom,30,Detroit Red Wings,D,38,6.13,0,2,1,6,1,15,56,71,9,,,,,,6.4,5.8,0.0,12.2
2001,Markus Naslund,27,Vancouver Canucks,RW,20,3.23,1,1,0,0,3,41,34,75,-2,,,,,,8.2,1.3,0.0,9.5
2001,Sean Burke,34,Phoenix Coyotes,G,17,2.74,0,0,2,1,4,0,1,1,0,25,22,13,2.27,.922,0.0,0.0,14.4,14.4
2001,Mike Modano,30,Dallas Stars,C,17,2.74,0,0,1,3,3,33,51,84,26,,,,,,6.9,3.2,0.0,10.2
2001,Alexei Yashin,27,Ottawa Senators,C,15,2.42,0,0,2,1,2,40,48,88,10,,,,,,8.6,1.9,0.0,10.5
2001,Scott Stevens,36,New Jersey Devils,D,13,2.10,0,0,2,1,0,9,22,31,40,,,,,,1.9,6.1,0.0,8.1
2001,Alex Kovalev,27,Pittsburgh Penguins,RW,10,1.61,0,1,0,1,0,44,51,95,12,,,,,,8.8,1.7,0.0,10.5
2001,Tommy Salo,29,Edmonton Oilers,G,10,1.61,0,0,2,0,0,0,1,1,0,36,25,12,2.46,.904,0.0,0.0,11.5,11.5
2001,Evgeni Nabokov,25,San Jose Sharks,G,8,1.29,0,0,1,0,3,0,2,2,0,32,21,7,2.19,.915,0.0,0.0,11.7,11.7
2001,Sergei Fedorov,31,Detroit Red Wings,C,7,1.13,0,1,0,0,0,32,37,69,12,,,,,,6.0,2.3,0.0,8.2
2001,Peter Bondra,32,Washington Capitals,LW,7,1.13,0,0,0,1,4,45,36,81,8,,,,,,8.0,2.3,0.0,10.3
2001,Jason Allison,25,Boston Bruins,C,4,0.65,0,0,0,1,1,36,59,95,-8,,,,,,8.1,1.8,0.0,9.9
2001,Steve Yzerman,35,Detroit Red Wings,C,4,0.65,0,0,0,1,1,18,34,52,4,,,,,,3.9,1.5,0.0,5.4
2001,Mark Recchi,32,Philadelphia Flyers,RW,3,0.48,0,0,0,1,0,27,50,77,15,,,,,,6.7,2.1,0.0,8.7
2001,Keith Primeau,29,Philadelphia Flyers,C,3,0.48,0,0,0,1,0,34,39,73,17,,,,,,7.2,2.1,0.0,9.3
2001,Patrick Lalime,26,Ottawa Senators,G,3,0.48,0,0,0,1,0,0,1,1,0,36,19,5,2.35,.914,0.0,0.0,12.0,12.0
2001,Brett Hull,36,Dallas Stars,RW,3,0.48,0,0,0,1,0,39,40,79,10,,,,,,8.2,2.1,0.0,10.3
2001,Rob Blake,31,TOT,D,3,0.48,0,0,0,1,0,19,40,59,3,,,,,,6.0,3.5,0.0,9.5
2001,Arturs Irbe,33,Carolina Hurricanes,G,1,0.16,0,0,0,0,1,0,2,2,0,37,29,9,2.45,.908,0.0,0.0,12.9,12.9
2001,Jeff O'Neill,24,Carolina Hurricanes,RW,1,0.16,0,0,0,0,1,41,26,67,-18,,,,,,6.8,1.5,0.0,8.3
2002,Jose Theodore,25,Montreal Canadiens,G,434,70.00,26,16,9,5,2,0,2,2,0,30,24,10,2.11,.931,0.0,0.0,17.4,17.4
2002,Jarome Iginla,24,Calgary Flames,RW,434,70.00,23,18,12,5,3,52,44,96,27,,,,,,11.2,3.2,0.0,14.4
2002,Patrick Roy,36,Colorado Avalanche,G,283,45.65,8,15,12,11,5,0,3,3,0,32,23,8,1.94,.925,0.0,0.0,13.3,13.3
2002,Sean Burke,35,Phoenix Coyotes,G,172,27.74,2,5,16,10,7,0,1,1,0,33,21,6,2.29,.920,0.0,0.0,12.9,12.9
2002,Markus Naslund,28,Vancouver Canucks,LW,64,10.32,0,0,4,10,14,40,50,90,22,,,,,,9.6,2.3,0.0,11.9
2002,Ron Francis,38,Carolina Hurricanes,C,48,7.74,1,2,3,2,3,27,50,77,4,,,,,,6.7,2.1,0.0,8.7
2002,Joe Sakic,32,Colorado Avalanche,C,41,6.61,2,1,2,1,1,26,53,79,12,,,,,,6.3,2.9,0.0,9.2
2002,Mats Sundin,30,Toronto Maple Leafs,C,35,5.65,0,2,0,5,6,41,39,80,6,,,,,,8.7,1.6,0.0,10.3
2002,Brendan Shanahan,33,Detroit Red Wings,LW,24,3.87,0,2,1,1,2,37,38,75,23,,,,,,7.8,2.5,0.0,10.3
2002,Michael Peca,27,New York Islanders,C,11,1.77,0,1,0,1,1,25,35,60,19,,,,,,4.8,2.4,0.0,7.2
2003,Peter Forsberg,29,Colorado Avalanche,C,508,81.94,38,13,6,2,1,29,77,106,52,,,,,,10.2,3.4,0.0,13.6
2003,Markus Naslund,29,Vancouver Canucks,LW,342,55.16,5,26,17,7,4,48,56,104,6,,,,,,11.7,1.8,0.0,13.5
2003,Martin Brodeur,30,New Jersey Devils,G,311,50.16,14,12,11,10,2,0,0,0,0,41,23,9,2.02,.914,0.0,0.0,11.4,11.4
2003,Joe Thornton,23,Boston Bruins,C,131,21.13,0,6,6,15,14,36,65,101,12,,,,,,10.1,2.0,0.0,12.1
2003,Todd Bertuzzi,27,Vancouver Canucks,RW,100,16.13,2,2,7,7,10,46,51,97,2,,,,,,10.6,1.7,0.0,12.3
2003,Al MacInnis,39,St. Louis Blues,D,46,7.42,0,2,4,3,3,16,52,68,22,,,,,,6.7,5.6,0.0,12.3
2003,Mike Modano,32,Dallas Stars,C,43,6.94,1,0,3,5,3,28,57,85,34,,,,,,7.6,3.1,0.0,10.7
2003,Nicklas Lidstrom,32,Detroit Red Wings,D,41,6.61,0,0,4,6,3,18,44,62,40,,,,,,6.1,7.1,0.0,13.2
2003,Sergei Fedorov,33,Detroit Red Wings,C,22,3.55,1,0,2,0,2,36,47,83,15,,,,,,8.1,2.0,0.0,10.1
2003,Marian Hossa,24,Ottawa Senators,RW,14,2.26,0,0,1,2,3,45,35,80,8,,,,,,9.2,1.9,0.0,11.1
2003,Marty Turco,27,Dallas Stars,G,11,1.77,0,0,1,1,3,0,3,3,0,31,10,10,1.73,.932,0.0,0.0,11.9,11.9
2003,Patrick Roy,37,Colorado Avalanche,G,10,1.61,1,0,0,0,0,0,0,0,0,35,15,13,2.18,.920,0.0,0.0,12.8,12.8
2003,Milan Hejduk,26,Colorado Avalanche,RW,10,1.61,0,1,0,0,3,50,48,98,52,,,,,,11.1,3.5,0.0,14.6
2003,Nikolai Khabibulin,30,Tampa Bay Lightning,G,7,1.13,0,0,0,2,1,0,3,3,0,30,22,11,2.47,.911,0.0,0.0,11.2,11.2
2003,Ed Belfour,37,Toronto Maple Leafs,G,6,0.97,0,0,0,1,3,0,2,2,0,37,20,5,2.26,.922,0.0,0.0,13.9,13.9
2003,Mario Lemieux,37,Pittsburgh Penguins,C,6,0.97,0,0,0,1,3,28,63,91,-25,,,,,,8.3,1.1,0.0,9.4
2003,Dany Heatley,22,Atlanta Thrashers,RW,2,0.32,0,0,0,0,2,41,48,89,-8,,,,,,9.7,1.4,0.0,11.0
2003,Jean-Sebastien Giguere,25,Mighty Ducks of Anaheim,G,1,0.16,0,0,0,0,1,0,0,0,0,34,22,6,2.30,.920,0.0,0.0,13.5,13.5
2003,Mats Sundin,31,Toronto Maple Leafs,C,1,0.16,0,0,0,0,1,37,35,72,1,,,,,,7.4,1.6,0.0,9.0
2004,Martin St. Louis,28,Tampa Bay Lightning,RW,1016,96.76,97,5,1,2,0,38,56,94,35,,,,,,10.1,3.1,0.0,13.2
2004,Jarome Iginla,26,Calgary Flames,RW,253,24.10,2,20,15,3,9,41,32,73,21,,,,,,8.0,3.1,0.0,11.1
2004,Martin Brodeur,31,New Jersey Devils,G,213,20.29,2,14,11,11,7,0,0,0,0,38,26,11,2.03,.917,0.0,0.0,12.5,12.5
2004,Miikka Kiprusoff,27,Calgary Flames,G,193,18.38,0,19,7,7,4,0,1,1,0,24,10,4,1.69,.933,0.0,0.0,8.4,8.4
2004,Markus Naslund,30,Vancouver Canucks,LW,176,16.76,0,11,10,13,10,35,49,84,24,,,,,,9.0,2.5,0.0,11.4
2004,Roberto Luongo,24,Florida Panthers,G,167,15.90,2,10,8,8,13,0,3,3,0,25,33,14,2.43,.931,0.0,0.0,20.9,20.9
2004,Joe Sakic,34,Colorado Avalanche,C,144,13.71,0,6,9,15,12,33,54,87,11,,,,,,8.6,2.2,0.0,10.8
2004,Marty Turco,28,Dallas Stars,G,87,8.29,0,3,8,6,8,0,1,1,0,37,21,13,1.98,.913,0.0,0.0,10.4,10.4
2004,Scott Niedermayer,30,New Jersey Devils,D,70,6.67,0,2,6,7,5,14,40,54,20,,,,,,5.1,6.9,0.0,12.0
2004,Ed Belfour,38,Toronto Maple Leafs,G,59,5.62,1,2,3,5,5,0,2,2,0,34,19,6,2.13,.918,0.0,0.0,10.3,10.3
2004,Ilya Kovalchuk,20,Atlanta Thrashers,LW,59,5.62,0,1,7,4,5,41,46,87,-10,,,,,,8.9,1.7,0.0,10.6
2004,Mats Sundin,32,Toronto Maple Leafs,C,55,5.24,0,4,4,1,4,31,44,75,11,,,,,,7.2,2.0,0.0,9.2
2004,Andrew Raycroft,23,Boston Bruins,G,43,4.10,0,1,5,3,2,0,2,2,0,29,18,9,2.05,.926,0.0,0.0,12.6,12.6
2004,Patrik Elias,27,New Jersey Devils,LW,37,3.52,0,1,3,4,3,38,43,81,26,,,,,,8.8,3.0,0.0,11.8
2004,Joe Thornton,24,Boston Bruins,C,37,3.52,1,2,1,2,2,23,50,73,18,,,,,,6.3,2.5,0.0,8.8
2004,Chris Pronger,29,St. Louis Blues,D,29,2.76,0,2,1,2,4,14,40,54,-1,,,,,,5.1,5.7,0.0,10.8
2004,Daniel Alfredsson,31,Ottawa Senators,RW,22,2.10,0,1,1,3,1,32,48,80,12,,,,,,8.6,1.9,0.0,10.4
2004,Marian Hossa,25,Ottawa Senators,RW,17,1.62,0,0,3,0,2,36,46,82,4,,,,,,9.2,1.6,0.0,10.8
2004,Jose Theodore,27,Montreal Canadiens,G,14,1.33,0,1,0,2,1,0,3,3,0,33,28,5,2.27,.919,0.0,0.0,13.2,13.2
2004,Pavel Datsyuk,25,Detroit Red Wings,C,10,0.95,0,0,0,3,1,30,38,68,-2,,,,,,7.2,1.2,0.0,8.4
2004,Patrick Marleau,24,San Jose Sharks,C,6,0.57,0,0,1,0,1,28,29,57,-5,,,,,,5.4,1.3,0.0,6.8
2004,Brad Richards,23,Tampa Bay Lightning,C,5,0.48,0,0,1,0,0,26,53,79,13,,,,,,7.1,2.2,0.0,9.3
2004,Evgeni Nabokov,28,San Jose Sharks,G,4,0.38,0,0,0,1,1,0,0,0,0,31,19,8,2.21,.921,0.0,0.0,11.8,11.8
2004,Robert Lang,33,TOT,C,4,0.38,0,0,0,1,1,30,49,79,4,,,,,,8.1,1.9,0.0,10.0
2004,Zdeno Chara,26,Ottawa Senators,D,3,0.29,0,0,0,1,0,16,25,41,33,,,,,,4.3,6.1,0.0,10.3
2004,Mark Recchi,35,Philadelphia Flyers,LW,3,0.29,0,0,0,1,0,26,49,75,18,,,,,,7.2,2.2,0.0,9.4
2004,Rick Nash,19,Columbus Blue Jackets,LW,3,0.29,0,0,0,0,3,41,16,57,-35,,,,,,7.1,0.6,0.0,7.7
2004,Kris Draper,32,Detroit Red Wings,C,1,0.10,0,0,0,0,1,24,16,40,22,,,,,,3.9,2.1,0.0,6.0
2006,Joe Thornton,26,TOT,C,1058,82.02,67,48,9,1,4,29,96,125,31,,,,,,10.2,3.1,0.0,13.3
2006,Jaromir Jagr,33,New York Rangers,RW,974,75.50,48,49,30,0,1,54,69,123,34,,,,,,12.1,3.4,0.0,15.5
2006,Miikka Kiprusoff,29,Calgary Flames,G,561,43.49,10,24,45,20,8,0,2,2,0,42,20,11,2.07,.923,0.0,0.0,16.2,16.2
2006,Eric Staal,21,Carolina Hurricanes,C,121,9.38,0,0,9,18,22,45,55,100,-8,,,,,,9.8,1.3,0.0,11.1
2006,Daniel Alfredsson,33,Ottawa Senators,RW,119,9.22,0,2,6,20,15,43,60,103,29,,,,,,9.7,2.6,0.0,12.3
2006,Alex Ovechkin,20,Washington Capitals,LW,109,8.45,1,0,8,14,17,52,54,106,2,,,,,,11.0,1.6,0.0,12.7
2006,Nicklas Lidstrom,35,Detroit Red Wings,D,106,8.22,1,2,7,12,11,16,64,80,21,,,,,,6.8,6.1,0.0,12.9
2006,Scott Niedermayer,32,Mighty Ducks of Anaheim,D,66,5.12,1,0,2,13,7,13,50,63,8,,,,,,5.0,5.0,0.0,10.0
2006,Henrik Lundqvist,23,New York Rangers,G,46,3.57,0,2,4,2,6,0,2,2,0,30,12,9,2.24,.922,0.0,0.0,12.2,12.2
2006,Rod Brind'Amour,35,Carolina Hurricanes,C,33,2.56,0,1,3,3,2,31,39,70,8,,,,,,4.5,2.2,0.0,6.8
2006,Dany Heatley,25,Ottawa Senators,LW,33,2.56,0,0,3,4,6,50,53,103,29,,,,,,10.2,2.7,0.0,12.9
2006,Martin Brodeur,33,New Jersey Devils,G,22,1.71,0,0,0,6,4,0,3,3,0,43,23,7,2.57,.911,0.0,0.0,14.9,14.9
2006,Brian Gionta,27,New Jersey Devils,RW,18,1.40,0,0,1,2,7,48,41,89,18,,,,,,8.5,2.9,0.0,11.4
2006,Teemu Selanne,35,Mighty Ducks of Anaheim,RW,18,1.40,0,0,0,5,3,40,50,90,28,,,,,,8.7,2.7,0.0,11.4
2006,Jonathan Cheechoo,25,San Jose Sharks,RW,16,1.24,0,1,0,2,3,56,37,93,23,,,,,,10.0,2.7,0.0,12.7
2006,Tomas Vokoun,29,Nashville Predators,G,13,1.01,1,0,0,0,3,0,2,2,0,36,18,7,2.67,.919,0.0,0.0,15.8,15.8
2006,Peter Forsberg,32,Philadelphia Flyers,C,11,0.85,0,0,1,2,0,19,56,75,21,,,,,,6.1,1.8,0.0,8.0
2006,Marty Turco,30,Dallas Stars,G,5,0.39,0,0,1,0,0,0,2,2,0,41,19,5,2.55,.898,0.0,0.0,9.2,9.2
2006,Zdeno Chara,28,Ottawa Senators,D,4,0.31,0,0,0,1,1,16,27,43,17,,,,,,3.6,4.5,0.0,8.1
2006,Mike Modano,35,Dallas Stars,C,4,0.31,0,0,0,1,1,27,50,77,23,,,,,,5.6,2.8,0.0,8.4
2006,Ryan Miller,25,Buffalo Sabres,G,3,0.23,0,0,0,1,0,0,2,2,0,30,14,3,2.60,.914,0.0,0.0,10.6,10.6
2006,Simon Gagne,25,Philadelphia Flyers,LW,3,0.23,0,0,0,1,0,47,32,79,31,,,,,,8.3,2.5,0.0,10.8
2006,Pavel Datsyuk,27,Detroit Red Wings,C,3,0.23,0,0,0,1,0,28,59,87,26,,,,,,7.4,2.4,0.0,9.8
2006,Sidney Crosby,18,Pittsburgh Penguins,C,2,0.16,0,0,0,0,2,39,63,102,-1,,,,,,8.9,1.6,0.0,10.5
2006,Ilya Kovalchuk,22,Atlanta Thrashers,LW,2,0.16,0,0,0,0,2,52,46,98,-6,,,,,,9.8,1.4,0.0,11.2
2006,Paul Kariya,31,Nashville Predators,LW,1,0.08,0,0,0,0,1,31,54,85,-6,,,,,,6.8,1.5,0.0,8.4
2006,Chris Pronger,31,Edmonton Oilers,D,1,0.08,0,0,0,0,1,12,44,56,2,,,,,,4.0,5.6,0.0,9.6
2006,Brad Richards,25,Tampa Bay Lightning,C,1,0.08,0,0,0,0,1,23,68,91,0,,,,,,5.6,2.4,0.0,8.0
2006,Marek Svatos,23,Colorado Avalanche,RW,1,0.08,0,0,0,0,1,32,18,50,0,,,,,,5.6,0.9,0.0,6.4
2007,Sidney Crosby,19,Pittsburgh Penguins,C,1225,85.66,91,34,14,2,1,36,84,120,10,,,,,,11.3,2.0,0.0,13.3
2007,Roberto Luongo,27,Vancouver Canucks,G,801,56.01,25,46,35,16,6,0,2,2,0,47,22,6,2.28,.921,0.0,0.0,17.1,17.1
2007,Martin Brodeur,34,New Jersey Devils,G,763,53.36,21,45,39,12,7,0,1,1,0,48,23,7,2.18,.922,0.0,0.0,17.3,17.3
2007,Vincent Lecavalier,26,Tampa Bay Lightning,C,362,25.31,5,6,22,48,16,52,56,108,2,,,,,,11.2,2.2,0.0,13.4
2007,Joe Thornton,27,San Jose Sharks,C,230,16.08,0,8,11,27,38,22,92,114,24,,,,,,9.0,3.2,0.0,12.2
2007,Nicklas Lidstrom,36,Detroit Red Wings,D,53,3.71,1,1,3,4,9,13,49,62,40,,,,,,5.3,7.9,0.0,13.1
2007,Scott Niedermayer,33,Anaheim Ducks,D,45,3.15,0,1,3,4,11,15,54,69,6,,,,,,6.1,5.6,0.0,11.7
2007,Joe Sakic,37,Colorado Avalanche,C,44,3.08,0,0,4,5,9,36,64,100,2,,,,,,9.1,1.7,0.0,10.8
2007,Teemu Selanne,36,Anaheim Ducks,RW,36,2.52,0,0,2,6,8,48,46,94,26,,,,,,10.3,2.7,0.0,13.0
2007,Marian Hossa,28,Atlanta Thrashers,RW,35,2.45,0,0,3,4,8,43,57,100,18,,,,,,9.9,2.5,0.0,12.4
2007,Daniel Briere,29,Buffalo Sabres,C,33,2.31,0,2,0,5,4,32,63,95,17,,,,,,8.4,1.6,0.0,10.0
2007,Dany Heatley,26,Ottawa Senators,RW,28,1.96,0,0,2,3,9,50,55,105,31,,,,,,10.8,2.6,0.0,13.4
2007,Chris Drury,30,Buffalo Sabres,C,14,0.98,0,0,1,2,3,37,32,69,1,,,,,,6.6,0.9,0.0,7.5
2007,Martin St. Louis,31,Tampa Bay Lightning,RW,12,0.84,0,0,1,2,1,43,59,102,7,,,,,,9.2,2.6,0.0,11.8
2007,Jarome Iginla,29,Calgary Flames,RW,10,0.70,0,0,0,2,4,39,55,94,12,,,,,,9.2,1.9,0.0,11.1
2007,Paul Kariya,32,Nashville Predators,LW,5,0.35,0,0,1,0,0,24,52,76,6,,,,,,5.4,1.8,0.0,7.2
2007,Daniel Alfredsson,34,Ottawa Senators,RW,5,0.35,0,0,1,0,0,29,58,87,42,,,,,,7.0,3.0,0.0,10.0
2007,Brendan Shanahan,38,New York Rangers,LW,5,0.35,0,0,1,0,0,29,33,62,2,,,,,,5.5,1.7,0.0,7.2
2007,Jaromir Jagr,34,New York Rangers,RW,3,0.21,0,0,0,1,0,30,66,96,26,,,,,,7.8,3.2,0.0,11.0
2007,Ryan Miller,26,Buffalo Sabres,G,2,0.14,0,0,0,0,2,0,2,2,0,40,16,6,2.73,.911,0.0,0.0,12.7,12.7
2007,Marian Gaborik,24,Minnesota Wild,RW,2,0.14,0,0,0,0,2,30,27,57,12,,,,,,6.3,1.8,0.0,8.1
2007,Dominik Hasek,42,Detroit Red Wings,G,1,0.07,0,0,0,0,1,0,2,2,0,38,11,6,2.05,.913,0.0,0.0,9.1,9.1
2007,Henrik Lundqvist,24,New York Rangers,G,1,0.07,0,0,0,0,1,0,0,0,0,37,22,8,2.34,.917,0.0,0.0,14.3,14.3
2007,Thomas Vanek,23,Buffalo Sabres,LW,1,0.07,0,0,0,0,1,43,41,84,47,,,,,,8.9,2.7,0.0,11.6
2007,Alex Ovechkin,21,Washington Capitals,LW,1,0.07,0,0,0,0,1,46,46,92,-19,,,,,,9.6,0.9,0.0,10.5
2007,Chris Pronger,32,Anaheim Ducks,D,1,0.07,0,0,0,0,1,13,46,59,27,,,,,,5.3,6.4,0.0,11.7
2008,Alex Ovechkin,22,Washington Capitals,LW,1313,97.99,128,4,1,0,0,65,47,112,28,,,,,,14.1,3.1,0.0,17.2
2008,Evgeni Malkin,21,Pittsburgh Penguins,C,659,49.18,1,66,27,13,13,47,59,106,16,,,,,,11.5,2.4,0.0,13.9
2008,Jarome Iginla,30,Calgary Flames,RW,565,42.16,2,41,33,26,15,50,48,98,27,,,,,,11.3,2.9,0.0,14.2
2008,Nicklas Lidstrom,37,Detroit Red Wings,D,246,18.36,2,7,17,24,20,10,60,70,40,,,,,,6.4,8.1,0.0,14.4
2008,Martin Brodeur,35,New Jersey Devils,G,239,17.84,1,8,19,21,15,0,4,4,0,44,27,6,2.17,.920,0.0,0.0,15.5,15.5
2008,Joe Thornton,28,San Jose Sharks,C,157,11.72,0,3,16,14,14,29,67,96,18,,,,,,8.6,3.3,0.0,11.9
2008,Evgeni Nabokov,32,San Jose Sharks,G,109,8.13,0,1,12,9,15,0,2,2,0,46,21,8,2.14,.910,0.0,0.0,11.2,11.2
2008,Alex Kovalev,34,Montreal Canadiens,RW,94,7.01,0,1,5,15,17,35,49,84,18,,,,,,8.4,2.4,0.0,10.8
2008,Pavel Datsyuk,29,Detroit Red Wings,C,43,3.21,0,1,2,7,5,31,66,97,41,,,,,,8.8,3.7,0.0,12.6
2008,Henrik Zetterberg,27,Detroit Red Wings,LW,17,1.27,0,0,2,1,4,43,49,92,30,,,,,,9.9,3.2,0.0,13.0
2008,Marian Gaborik,25,Minnesota Wild,RW,9,0.67,0,0,0,2,3,42,41,83,17,,,,,,9.2,2.5,0.0,11.6
2008,Roberto Luongo,28,Vancouver Canucks,G,7,0.52,0,1,0,0,0,0,3,3,0,35,29,9,2.38,.917,0.0,0.0,14.4,14.4
2008,Dion Phaneuf,22,Calgary Flames,D,7,0.52,0,1,0,0,0,17,43,60,12,,,,,,6.1,5.1,0.0,11.2
2008,Zdeno Chara,30,Boston Bruins,D,4,0.30,0,0,0,1,1,17,34,51,14,,,,,,5.1,5.4,0.0,10.5
