player,age,team_id,pos,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
Brian Gibbons,30,ANA,C,2,3,5,-8,,,,,,,,,-0.2
Brian Gibbons,30,OTT,C,6,8,14,3,,,,,,,,,1.7
Brandon Gignac,21,NJD,C,0,0,0,-2,,,,,,,,,-0.1
Dennis Gilbert,22,CHI,D,0,0,0,0,,,,,,,,,0.0
John Gilmour,25,NYR,D,0,0,0,-3,,,,,,,,,-0.2
Stephen Gionta,35,NYI,C,0,0,0,-4,,,,,,,,,-0.2
Mark Giordano,35,CGY,D,17,57,74,39,,,,,,,,,12.6
Samuel Girard,20,COL,D,4,23,27,8,,,,,,,,,4.9
Dan Girardi,34,TBL,D,4,12,16,6,,,,,,,,,2.8
Zemgus Girgensons,25,BUF,C,5,13,18,-11,,,,,,,,,0.4
Claude Giroux,31,PHI,C,22,63,85,9,,,,,,,,,7.9
Ben Gleason,20,DAL,D,0,1,1,-1,,,,,,,,,0.1
Luke Glendening,29,DET,C,10,13,23,2,,,,,,,,,1.3
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Nikolay Goldobin,23,VAN,LW,7,20,27,-10,,,,,,,,,1.7
Alex Goligoski,33,ARI,D,3,24,27,-7,,,,,,,,,5.1
Cody Goloubef,29,OTT,D,0,0,0,0,,,,,,,,,0.0
Barclay Goodrow,25,SJS,RW,7,10,17,4,,,,,,,,,0.9
Shayne Gostisbehere,25,PHI,D,9,28,37,-20,,,,,,,,,4.2
Tyrell Goulbourne,25,PHI,LW,0,0,0,0,,,,,,,,,0.0
Yanni Gourde,27,TBL,C,22,26,48,9,,,,,,,,,4.9
Michael Grabner,31,ARI,RW,9,7,16,-2,,,,,,,,,1.8
Markus Granlund,25,VAN,C,12,10,22,-4,,,,,,,,,1.6
Mikael Granlund,26,TOT,C,16,38,54,-8,,,,,,,,,4.7
Mikael Granlund,26,MIN,C,15,34,49,-2,,,,,,,,,4.7
Mikael Granlund,26,NSH,C,1,4,5,-6,,,,,,,,,-0.1
Derek Grant,28,TOT,C,4,10,14,-6,,,,,,,,,0.6
Derek Grant,28,ANA,C,2,7,9,-9,,,,,,,,,0.2
Derek Grant,28,PIT,C,2,3,5,3,,,,,,,,,0.4
Kevin Gravel,26,EDM,D,0,3,3,-2,,,,,,,,,0.6
Ryan Graves,23,COL,D,3,2,5,4,,,,,,,,,1.3
Anthony Greco,25,FLA,RW,0,0,0,-3,,,,,,,,,-0.1
Mike Green,33,DET,D,5,21,26,-1,,,,,,,,,3.9
Andy Greene,36,NJD,D,5,20,25,-9,,,,,,,,,4.6
Jordan Greenway,21,MIN,LW,12,12,24,-12,,,,,,,,,1.7
A.J. Greer,22,COL,LW,1,1,2,-2,,,,,,,,,0.1
Rocco Grimaldi,25,NSH,C,5,8,13,-2,,,,,,,,,0.9
Carl Grundstrom,21,LAK,RW,5,1,6,-4,,,,,,,,,0.6
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Eric Gryba,30,NJD,D,0,0,0,-1,,,,,,,,,0.1
Matt Grzelcyk,25,BOS,D,3,15,18,9,,,,,,,,,4.0
Radko Gudas,28,PHI,D,4,16,20,6,,,,,,,,,3.9
Erik Gudbranson,27,TOT,D,2,8,10,-20,,,,,,,,,1.1
Erik Gudbranson,27,VAN,D,2,6,8,-27,,,,,,,,,0.2
Erik Gudbranson,27,PIT,D,0,2,2,7,,,,,,,,,0.9
Jake Guentzel,24,PIT,C,40,36,76,13,,,,,,,,,9.4
Brendan Guhle,21,TOT,D,0,1,1,-2,,,,,,,,,0.1
Brendan Guhle,21,ANA,D,0,1,1,-3,,,,,,,,,0.0
Brendan Guhle,21,BUF,D,0,0,0,1,,,,,,,,,0.1
Carl Gunnarsson,32,STL,D,3,4,7,8,,,,,,,,,2.0
Denis Gurianov,21,DAL,RW,1,3,4,-3,,,,,,,,,0.1
Erik Gustafsson,26,CHI,D,17,43,60,-6,,,,,,,,,7.7
Carl Hagelin,30,TOT,LW,5,14,19,7,,,,,,,,,1.2
Carl Hagelin,30,LAK,LW,1,4,5,-2,,,,,,,,,0.1
Carl Hagelin,30,WSH,LW,3,8,11,7,,,,,,,,,1.1
Carl Hagelin,30,PIT,LW,1,2,3,2,,,,,,,,,0.0
Robert Hagg,23,PHI,D,5,15,20,-3,,,,,,,,,3.3
Ron Hainsey,37,TOR,D,5,18,23,30,,,,,,,,,5.6
Libor Hajek,20,NYR,D,1,0,1,1,,,,,,,,,0.3
Micheal Haley,32,TOT,C,2,4,6,-2,,,,,,,,,0.1
Micheal Haley,32,FLA,C,1,2,3,-2,,,,,,,,,0.0
Micheal Haley,32,SJS,C,1,2,3,0,,,,,,,,,0.1
Taylor Hall,27,NJD,LW,11,26,37,-6,,,,,,,,,3.8
Dan Hamhuis,36,NSH,D,0,5,5,-2,,,,,,,,,1.2
Dougie Hamilton,25,CAR,D,18,21,39,0,,,,,,,,,7.6
Travis Hamonic,28,CGY,D,7,12,19,21,,,,,,,,,4.7
Noah Hanifin,22,CGY,D,5,28,33,18,,,,,,,,,5.7
Joel Hanley,27,DAL,D,0,0,0,0,,,,,,,,,0.4
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Markus Hannikainen,25,CBJ,LW,4,3,7,-5,,,,,,,,,0.2
Martin Hanzal,31,DAL,C,1,1,2,-4,,,,,,,,,0.0
Ben Harpur,24,OTT,D,1,4,5,-13,,,,,,,,,0.4
Scott Harrington,25,CBJ,D,2,15,17,6,,,,,,,,,3.3
Ryan Hartman,24,TOT,RW,12,14,26,1,,,,,,,,,2.1
Ryan Hartman,24,NSH,RW,10,10,20,7,,,,,,,,,1.9
Ryan Hartman,24,PHI,RW,2,4,6,-6,,,,,,,,,0.2
Garnet Hathaway,27,CGY,RW,11,8,19,14,,,,,,,,,2.0
Erik Haula,27,VEG,LW,2,5,7,1,,,,,,,,,0.6
Jayce Hawryluk,23,FLA,C,7,5,12,-8,,,,,,,,,1.0
John Hayden,23,CHI,C,3,2,5,-12,,,,,,,,,-0.6
Kevin Hayes,26,TOT,RW,19,36,55,-2,,,,,,,,,5.3
Kevin Hayes,26,NYR,RW,14,28,42,1,,,,,,,,,4.1
Kevin Hayes,26,WPG,RW,5,8,13,-3,,,,,,,,,1.2
Dillon Heatherington,23,DAL,D,0,1,1,4,,,,,,,,,0.5
Victor Hedman,28,TBL,D,12,42,54,24,,,,,,,,,8.9
Tim Heed,28,SJS,D,2,11,13,9,,,,,,,,,2.5
Danton Heinen,23,BOS,C,11,23,34,13,,,,,,,,,3.3
Miro Heiskanen,19,DAL,D,12,21,33,-14,,,,,,,,,6.5
Darren Helm,32,DET,C,7,10,17,-11,,,,,,,,,0.5
Matt Hendricks,37,TOT,C,0,3,3,-2,,,,,,,,,-0.1
Matt Hendricks,37,MIN,C,0,2,2,-2,,,,,,,,,-0.1
Matt Hendricks,37,WPG,C,0,1,1,0,,,,,,,,,0.0
Adam Henrique,28,ANA,C,18,24,42,-5,,,,,,,,,4.0
Tomas Hertl,25,SJS,C,35,39,74,5,,,,,,,,,8.3
Joe Hicketts,22,DET,D,0,0,0,-9,,,,,,,,,-0.5
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Thomas Hickey,29,NYI,D,0,4,4,5,,,,,,,,,1.6
Vinnie Hinostroza,24,ARI,C,16,23,39,-4,,,,,,,,,4.2
Roope Hintz,22,DAL,LW,9,13,22,-11,,,,,,,,,1.6
Taro Hirose,22,DET,LW,1,6,7,0,,,,,,,,,0.5
Nico Hischier,20,NJD,C,17,30,47,0,,,,,,,,,4.8
Niklas Hjalmarsson,31,ARI,D,0,10,10,8,,,,,,,,,4.2
Joshua Ho-Sang,23,NYI,C,1,1,2,2,,,,,,,,,0.1
Mike Hoffman,29,FLA,C,36,34,70,-24,,,,,,,,,7.3
Nick Holden,31,VEG,D,3,12,15,5,,,,,,,,,3.2
Justin Holl,27,TOR,D,0,1,1,-5,,,,,,,,,-0.2
Korbinian Holzer,30,ANA,D,1,3,4,5,,,,,,,,,1.4
Julius Honka,23,DAL,D,0,4,4,-2,,,,,,,,,0.9
Patric Hornqvist,32,PIT,RW,18,19,37,-3,,,,,,,,,3.6
Bo Horvat,23,VAN,C,27,34,61,-4,,,,,,,,,6.2
Brett Howden,20,NYR,C,6,17,23,-16,,,,,,,,,0.7
Filip Hronek,21,DET,D,5,18,23,-10,,,,,,,,,2.9
Jonathan Huberdeau,25,FLA,C,30,62,92,-14,,,,,,,,,9.1
Charles Hudon,24,MTL,LW,3,2,5,-9,,,,,,,,,-0.2
Quinn Hughes,19,VAN,D,0,3,3,0,,,,,,,,,0.4
Brad Hunt,30,TOT,D,5,7,12,-2,,,,,,,,,2.4
Brad Hunt,30,MIN,D,3,2,5,-5,,,,,,,,,1.1
Brad Hunt,30,VEG,D,2,5,7,3,,,,,,,,,1.3
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Dryden Hunt,23,FLA,LW,3,7,10,0,,,,,,,,,0.7
Matt Hunwick,33,BUF,D,0,2,2,-7,,,,,,,,,0.0
Ben Hutton,25,VAN,D,5,15,20,-23,,,,,,,,,2.7
Tomas Hyka,25,VEG,RW,1,3,4,-2,,,,,,,,,0.1
Zach Hyman,26,TOR,C,21,20,41,16,,,,,,,,,4.5
Alex Iafallo,25,LAK,C,15,18,33,-17,,,,,,,,,2.3
Matt Irwin,31,NSH,D,1,6,7,5,,,,,,,,,1.7
Joshua Jacobs,22,NJD,D,0,0,0,-1,,,,,,,,,-0.1
Mark Jankowski,24,CGY,C,14,18,32,6,,,,,,,,,2.9
Mattias Janmark,26,DAL,C,6,19,25,-4,,,,,,,,,1.3
Calle Jarnkrok,27,NSH,C,10,16,26,13,,,,,,,,,2.1
Christian Jaros,22,OTT,D,1,9,10,-14,,,,,,,,,0.8
Dmitrij Jaskin,25,WSH,RW,2,6,8,-5,,,,,,,,,0.1
Boone Jenner,25,CBJ,C,16,22,38,6,,,,,,,,,3.6
Nick Jensen,28,TOT,D,2,18,20,4,,,,,,,,,3.8
Nick Jensen,28,DET,D,2,13,15,1,,,,,,,,,3.0
Nick Jensen,28,WSH,D,0,5,5,3,,,,,,,,,0.8
Jakub Jerabek,27,STL,D,0,0,0,-3,,,,,,,,,-0.2
Ryan Johansen,26,NSH,C,14,50,64,7,,,,,,,,,5.6
Marcus Johansson,28,TOT,C,13,17,30,-16,,,,,,,,,2.5
Marcus Johansson,28,NJD,C,12,15,27,-15,,,,,,,,,2.3
Marcus Johansson,28,BOS,C,1,2,3,-1,,,,,,,,,0.2
Adam Johnson,24,PIT,C,0,2,2,2,,,,,,,,,0.2
Erik Johnson,30,COL,D,7,18,25,8,,,,,,,,,5.1
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Jack Johnson,32,PIT,D,1,12,13,-4,,,,,,,,,1.8
Luke Johnson,24,CHI,C,0,1,1,-8,,,,,,,,,-0.5
Tyler Johnson,28,TBL,C,29,18,47,15,,,,,,,,,5.7
Andreas Johnsson,24,TOR,LW,20,23,43,14,,,,,,,,,4.9
Ross Johnston,24,NYI,LW,1,3,4,3,,,,,,,,,0.4
Henri Jokiharju,19,CHI,D,0,12,12,-7,,,,,,,,,0.8
Caleb Jones,21,EDM,D,1,5,6,-9,,,,,,,,,0.3
Max Jones,20,ANA,LW,2,3,5,-1,,,,,,,,,0.1
Seth Jones,24,CBJ,D,9,37,46,1,,,,,,,,,7.5
Mathieu Joseph,21,TBL,RW,13,13,26,5,,,,,,,,,2.5
Roman Josi,28,NSH,D,15,41,56,9,,,,,,,,,9.9
Tyson Jost,20,COL,C,11,15,26,-2,,,,,,,,,2.1
Noah Juulsen,21,MTL,D,1,4,5,5,,,,,,,,,1.2
Nazem Kadri,28,TOR,C,16,28,44,-2,,,,,,,,,3.7
Dominik Kahun,23,CHI,C,13,24,37,10,,,,,,,,,3.1
Vladislav Kamenev,22,COL,LW,2,3,5,-2,,,,,,,,,0.3
David Kampf,24,CHI,C,4,15,19,-6,,,,,,,,,0.4
Steven Kampfer,30,BOS,D,3,3,6,-6,,,,,,,,,0.9
Evander Kane,27,SJS,LW,30,26,56,-4,,,,,,,,,5.8
Patrick Kane,30,CHI,RW,44,66,110,2,,,,,,,,,11.8
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Kasperi Kapanen,22,TOR,RW,20,24,44,12,,,,,,,,,4.4
Erik Karlsson,28,SJS,D,3,42,45,6,,,,,,,,,6.0
Melker Karlsson,28,SJS,C,12,4,16,-1,,,,,,,,,1.0
William Karlsson,26,VEG,C,24,32,56,1,,,,,,,,,5.7
Ondrej Kase,23,ANA,RW,11,9,20,0,,,,,,,,,2.5
Zack Kassian,28,EDM,RW,15,11,26,-6,,,,,,,,,2.0
Brady Keeper,22,FLA,D,0,0,0,1,,,,,,,,,0.1
Duncan Keith,35,CHI,D,6,34,40,13,,,,,,,,,6.0
Clayton Keller,20,ARI,C,14,33,47,-21,,,,,,,,,3.6
Adrian Kempe,22,LAK,LW,12,16,28,-10,,,,,,,,,2.0
Mario Kempe,30,ARI,C,4,5,9,5,,,,,,,,,0.8
Michal Kempny,28,WSH,D,6,19,25,24,,,,,,,,,5.3
Alexander Kerfoot,24,COL,C,15,27,42,-9,,,,,,,,,3.4
Ryan Kesler,34,ANA,C,5,3,8,-19,,,,,,,,,-0.8
Phil Kessel,31,PIT,RW,27,55,82,-19,,,,,,,,,7.7
Jujhar Khaira,24,EDM,LW,3,15,18,-12,,,,,,,,,0.4
Alex Killorn,29,TBL,C,18,22,40,22,,,,,,,,,4.3
Bogdan Kiselevich,28,FLA,D,0,8,8,-3,,,,,,,,,1.0
Oscar Klefbom,25,EDM,D,5,23,28,-11,,,,,,,,,3.9
John Klingberg,26,DAL,D,10,35,45,6,,,,,,,,,8.5
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Justin Kloos,25,ANA,C,0,0,0,0,,,,,,,,,0.0
Corban Knight,28,PHI,C,1,3,4,-5,,,,,,,,,-0.1
Slater Koekkoek,24,TOT,D,2,4,6,4,,,,,,,,,1.2
Slater Koekkoek,24,CHI,D,1,4,5,4,,,,,,,,,1.0
Slater Koekkoek,24,TBL,D,1,0,1,0,,,,,,,,,0.2
Mikko Koivu,35,MIN,C,8,21,29,-2,,,,,,,,,2.4
Leo Komarov,32,NYI,C,6,20,26,18,,,,,,,,,2.1
Travis Konecny,21,PHI,C,24,25,49,-4,,,,,,,,,4.9
Anze Kopitar,31,LAK,C,22,38,60,-20,,,,,,,,,5.0
Kalle Kossila,25,ANA,LW,1,0,1,-1,,,,,,,,,0.0
Jesperi Kotkaniemi,18,MTL,C,11,23,34,1,,,,,,,,,2.6
Ilya Kovalchuk,35,LAK,LW,16,18,34,-26,,,,,,,,,2.6
Chris Kreider,27,NYR,C,28,24,52,4,,,,,,,,,6.0
David Krejci,32,BOS,C,20,53,73,7,,,,,,,,,7.3
Niklas Kronwall,38,DET,D,3,24,27,-5,,,,,,,,,4.2
Torey Krug,27,BOS,D,6,47,53,-2,,,,,,,,,7.1
Marcus Kruger,28,CHI,C,4,8,12,-2,,,,,,,,,0.0
Nikita Kucherov,25,TBL,RW,41,87,128,24,,,,,,,,,14.6
Ryan Kuffner,22,DET,LW,0,0,0,-4,,,,,,,,,-0.3
Karson Kuhlman,23,BOS,C,3,2,5,5,,,,,,,,,0.8
Tom Kuhnhackl,27,NYI,RW,4,5,9,1,,,,,,,,,0.6
Dean Kukan,25,CBJ,D,0,5,5,6,,,,,,,,,1.3
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Brett Kulak,25,MTL,D,6,11,17,12,,,,,,,,,3.9
Dmitry Kulikov,28,WPG,D,0,6,6,4,,,,,,,,,1.4
Luke Kunin,21,MIN,C,6,11,17,-9,,,,,,,,,0.9
Chris Kunitz,39,CHI,LW,5,5,10,-7,,,,,,,,,0.2
Janne Kuokkanen,20,CAR,C,0,0,0,-2,,,,,,,,,-0.2
Sean Kuraly,26,BOS,C,8,13,21,6,,,,,,,,,1.6
Evgeny Kuznetsov,26,WSH,C,21,51,72,7,,,,,,,,,6.8
Oliver Kylington,21,CGY,D,3,5,8,3,,,,,,,,,1.5
Jordan Kyrou,20,STL,C,1,2,3,-1,,,,,,,,,0.1
Joel L'Esperance,23,DAL,RW,2,0,2,-4,,,,,,,,,0.0
Kevin Labanc,23,SJS,RW,17,39,56,-1,,,,,,,,,5.1
Andrew Ladd,33,NYI,LW,3,8,11,3,,,,,,,,,1.0
Paul Ladue,26,LAK,D,2,3,5,0,,,,,,,,,1.3
Patrik Laine,20,WPG,RW,30,20,50,-24,,,,,,,,,4.7
Maxime Lajoie,21,OTT,D,7,8,15,-25,,,,,,,,,1.2
Juho Lammikko,23,FLA,RW,0,6,6,-7,,,,,,,,,-0.4
Gabriel Landeskog,26,COL,LW,34,41,75,17,,,,,,,,,9.0
Nick Lappin,26,NJD,RW,0,0,0,-6,,,,,,,,,-0.4
Dylan Larkin,22,DET,C,32,41,73,-6,,,,,,,,,7.5
Adam Larsson,26,EDM,D,3,17,20,-28,,,,,,,,,1.8
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Jacob Larsson,21,ANA,D,0,5,5,-4,,,,,,,,,1.3
Johan Larsson,26,BUF,LW,6,8,14,-8,,,,,,,,,0.1
Brian Lashoff,28,DET,D,0,1,1,-1,,,,,,,,,0.1
Scott Laughton,24,PHI,C,12,20,32,-11,,,,,,,,,1.9
Jeremy Lauzon,21,BOS,D,1,0,1,-1,,,,,,,,,0.4
Curtis Lazar,23,CGY,C,0,0,0,-1,,,,,,,,,0.0
Nick Leddy,27,NYI,D,4,22,26,0,,,,,,,,,5.0
Anders Lee,28,NYI,C,28,23,51,20,,,,,,,,,6.5
Artturi Lehkonen,23,MTL,LW,11,20,31,10,,,,,,,,,2.3
Jori Lehtera,31,PHI,C,1,2,3,-7,,,,,,,,,-0.3
Brendan Leipsic,24,TOT,LW,7,16,23,-14,,,,,,,,,1.3
Brendan Leipsic,24,LAK,LW,5,13,18,-4,,,,,,,,,1.3
Brendan Leipsic,24,VAN,LW,2,3,5,-10,,,,,,,,,0.0
Josh Leivo,25,TOT,LW,14,10,24,5,,,,,,,,,2.3
Josh Leivo,25,VAN,LW,10,8,18,4,,,,,,,,,1.8
Josh Leivo,25,TOR,LW,4,2,6,1,,,,,,,,,0.5
Brendan Lemieux,22,TOT,LW,12,5,17,6,,,,,,,,,2.2
Brendan Lemieux,22,WPG,LW,9,2,11,10,,,,,,,,,1.8
Brendan Lemieux,22,NYR,LW,3,3,6,-4,,,,,,,,,0.4
Kris Letang,31,PIT,D,16,40,56,13,,,,,,,,,9.0
Mark Letestu,33,CBJ,C,0,0,0,-1,,,,,,,,,-0.1
Vinni Lettieri,23,NYR,C,1,2,3,-7,,,,,,,,,-0.3
Tyler Lewington,24,WSH,D,1,1,2,3,,,,,,,,,0.5
Trevor Lewis,32,LAK,C,3,9,12,-9,,,,,,,,,0.3
Oscar Lindberg,27,TOT,C,9,11,20,4,,,,,,,,,2.0
Oscar Lindberg,27,VEG,C,4,8,12,3,,,,,,,,,1.1
Oscar Lindberg,27,OTT,C,5,3,8,1,,,,,,,,,0.9
Oskar Lindblom,22,PHI,LW,17,16,33,-9,,,,,,,,,2.7
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Esa Lindell,24,DAL,D,11,21,32,14,,,,,,,,,8.6
Ryan Lindgren,20,NYR,D,0,0,0,-6,,,,,,,,,-0.4
Anton Lindholm,24,COL,D,0,0,0,-1,,,,,,,,,-0.1
Elias Lindholm,24,CGY,C,27,51,78,30,,,,,,,,,8.4
Hampus Lindholm,25,ANA,D,6,22,28,-5,,,,,,,,,5.5
Par Lindholm,27,TOT,C,1,12,13,5,,,,,,,,,0.2
Par Lindholm,27,TOR,C,1,11,12,5,,,,,,,,,0.1
Par Lindholm,27,WPG,C,0,1,1,0,,,,,,,,,0.0
Bryan Little,31,WPG,RW,15,26,41,-12,,,,,,,,,2.9
Blake Lizotte,21,LAK,C,0,0,0,-1,,,,,,,,,-0.1
Ryan Lomberg,24,CGY,LW,0,0,0,0,,,,,,,,,-0.1
Ben Lovejoy,34,TOT,D,2,7,9,-1,,,,,,,,,2.7
Ben Lovejoy,34,NJD,D,2,5,7,1,,,,,,,,,2.1
Ben Lovejoy,34,DAL,D,0,2,2,-2,,,,,,,,,0.6
Adam Lowry,25,WPG,LW,12,11,23,6,,,,,,,,,1.8
Milan Lucic,30,EDM,LW,6,14,20,-9,,,,,,,,,0.5
Matt Luff,21,LAK,RW,8,3,11,-2,,,,,,,,,1.3
Isac Lundestrom,19,ANA,C,0,2,2,-1,,,,,,,,,-0.1
Ilya Lyubushkin,24,ARI,D,0,4,4,-9,,,,,,,,,0.6
Olli Maatta,24,PIT,D,1,13,14,9,,,,,,,,,2.7
Kurtis MacDermid,24,LAK,D,0,1,1,-1,,,,,,,,,0.2
Andrew MacDonald,32,PHI,D,0,9,9,-5,,,,,,,,,1.1
Jacob MacDonald,25,FLA,D,1,0,1,1,,,,,,,,,0.3
Mackenzie MacEachern,24,STL,LW,3,2,5,0,,,,,,,,,0.4
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Zack MacEwen,22,VAN,C,0,1,1,-4,,,,,,,,,-0.1
Derek MacKenzie,37,FLA,C,0,0,0,0,,,,,,,,,0.0
Nathan MacKinnon,23,COL,C,41,58,99,20,,,,,,,,,11.8
Saku Maenalanen,24,CAR,RW,4,4,8,0,,,,,,,,,0.7
Josh Mahura,20,ANA,D,1,4,5,0,,,,,,,,,0.9
Denis Malgin,22,FLA,C,7,9,16,-10,,,,,,,,,0.9
Evgeni Malkin,32,PIT,C,21,51,72,-25,,,,,,,,,6.2
Brad Malone,29,EDM,C,0,0,0,0,,,,,,,,,-0.2
Maxim Mamin,24,FLA,C,0,0,0,-2,,,,,,,,,-0.2
Andrew Mangiapane,22,CGY,LW,8,5,13,11,,,,,,,,,1.6
Brandon Manning,28,TOT,D,2,2,4,-15,,,,,,,,,-0.3
Brandon Manning,28,CHI,D,1,2,3,-14,,,,,,,,,-0.6
Brandon Manning,28,EDM,D,1,0,1,-1,,,,,,,,,0.3
Josh Manson,27,ANA,D,3,13,16,-8,,,,,,,,,3.5
Anthony Mantha,24,DET,RW,25,23,48,-8,,,,,,,,,5.0
Brad Marchand,30,BOS,LW,36,64,100,15,,,,,,,,,11.7
Jon Marchessault,28,VEG,C,25,34,59,2,,,,,,,,,6.3
Martin Marincin,26,TOR,D,1,4,5,-4,,,,,,,,,0.4
Patrick Marleau,39,TOR,C,16,21,37,-6,,,,,,,,,2.5
Mitch Marner,21,TOR,C,26,68,94,22,,,,,,,,,9.8
Cooper Marody,22,EDM,C,0,0,0,-1,,,,,,,,,-0.1
Pat Maroon,30,STL,LW,10,18,28,-3,,,,,,,,,2.1
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Danick Martel,24,TBL,LW,0,2,2,3,,,,,,,,,0.1
Matt Martin,29,NYI,LW,6,8,14,5,,,,,,,,,1.0
Alec Martinez,31,LAK,D,4,14,18,-2,,,,,,,,,3.8
Jordan Martinook,26,CAR,LW,15,10,25,1,,,,,,,,,2.2
Andreas Martinsen,28,CHI,LW,1,3,4,-5,,,,,,,,,-0.1
Mike Matheson,24,FLA,D,8,19,27,-24,,,,,,,,,3.2
Auston Matthews,21,TOR,C,37,36,73,-9,,,,,,,,,8.3
Scott Mayfield,26,NYI,D,4,15,19,18,,,,,,,,,5.3
Charlie McAvoy,21,BOS,D,7,21,28,14,,,,,,,,,5.7
Jake McCabe,25,BUF,D,4,10,14,-4,,,,,,,,,3.0
Jared McCann,22,TOT,C,19,16,35,-1,,,,,,,,,3.5
Jared McCann,22,FLA,C,8,10,18,-9,,,,,,,,,1.2
Jared McCann,22,PIT,C,11,6,17,8,,,,,,,,,2.3
Max McCormick,26,OTT,LW,1,0,1,-6,,,,,,,,,-0.2
Ian McCoshen,23,FLA,D,1,1,2,-2,,,,,,,,,0.4
Connor McDavid,22,EDM,C,41,75,116,3,,,,,,,,,13.0
Ryan McDonagh,29,TBL,D,9,37,46,38,,,,,,,,,8.9
Brock McGinn,24,CAR,LW,10,16,26,10,,,,,,,,,2.2
Jamie McGinn,30,FLA,LW,4,3,7,-5,,,,,,,,,0.6
Dylan McIlrath,26,DET,D,0,0,0,2,,,,,,,,,0.3
Greg McKegg,26,CAR,C,6,5,11,-2,,,,,,,,,1.0
Cody McLeod,34,TOT,LW,1,0,1,-13,,,,,,,,,-0.7
Cody McLeod,34,NYR,LW,1,0,1,-10,,,,,,,,,-0.5
Cody McLeod,34,NSH,LW,0,0,0,-3,,,,,,,,,-0.2
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Michael McLeod,20,NJD,C,0,3,3,-8,,,,,,,,,-0.4
Brayden McNabb,28,VEG,D,4,12,16,11,,,,,,,,,4.3
Adam McQuaid,32,TOT,D,3,4,7,2,,,,,,,,,1.9
Adam McQuaid,32,NYR,D,2,3,5,3,,,,,,,,,1.5
Adam McQuaid,32,CBJ,D,1,1,2,-1,,,,,,,,,0.4
Wade Megan,28,DET,C,0,1,1,-4,,,,,,,,,-0.2
Jaycob Megna,26,ANA,D,1,3,4,-1,,,,,,,,,1.0
Timo Meier,22,SJS,RW,30,36,66,9,,,,,,,,,7.4
Dakota Mermis,25,ARI,D,0,0,0,1,,,,,,,,,0.1
Jonathon Merrill,26,VEG,D,3,12,15,16,,,,,,,,,4.0
Victor Mete,20,MTL,D,0,13,13,17,,,,,,,,,3.5
Marc Methot,33,DAL,D,0,0,0,-3,,,,,,,,,0.0
Jacob Middleton,23,SJS,D,0,1,1,-1,,,,,,,,,0.0
Sonny Milano,22,CBJ,LW,1,0,1,0,,,,,,,,,0.1
Colin Miller,26,VEG,D,3,26,29,0,,,,,,,,,4.5
J.T. Miller,25,TBL,C,13,34,47,8,,,,,,,,,4.2
Kevan Miller,31,BOS,D,0,7,7,8,,,,,,,,,2.0
Casey Mittelstadt,20,BUF,C,12,13,25,-19,,,,,,,,,1.4
Sean Monahan,24,CGY,C,34,48,82,7,,,,,,,,,8.9
Brandon Montour,24,TOT,D,8,27,35,-20,,,,,,,,,5.3
Brandon Montour,24,ANA,D,5,20,25,-16,,,,,,,,,3.7
Brandon Montour,24,BUF,D,3,7,10,-4,,,,,,,,,1.6
John Moore,28,BOS,D,4,9,13,0,,,,,,,,,2.8
Trevor Moore,23,TOR,LW,2,6,8,1,,,,,,,,,0.6
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Samuel Morin,23,PHI,D,0,0,0,-3,,,,,,,,,-0.2
Josh Morrissey,23,WPG,D,6,25,31,9,,,,,,,,,5.2
Joseph Morrow,26,WPG,D,1,6,7,0,,,,,,,,,1.1
Tyler Motte,23,VAN,C,9,7,16,-12,,,,,,,,,0.7
Mirco Mueller,23,NJD,D,1,10,11,-3,,,,,,,,,2.2
Connor Murphy,25,CHI,D,5,8,13,12,,,,,,,,,3.0
Ryan Murphy,25,TOT,D,0,1,1,1,,,,,,,,,0.2
Ryan Murphy,25,MIN,D,0,0,0,1,,,,,,,,,0.1
Ryan Murphy,25,NJD,D,0,1,1,0,,,,,,,,,0.1
Ryan Murray,25,CBJ,D,1,28,29,20,,,,,,,,,5.7
Jake Muzzin,29,TOT,D,9,28,37,21,,,,,,,,,7.8
Jake Muzzin,29,LAK,D,4,17,21,10,,,,,,,,,4.7
Jake Muzzin,29,TOR,D,5,11,16,11,,,,,,,,,3.1
