"player","position","season","Team","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh_perc","F_Sh_perc","xFSH_perc","iBLK","iHF","iHA","GIVE","TAKE","iPENT2","iPEND2","iPENT5","iPEND5","FOW","FOL","FO_diff"
"JOHN.CARLSON","D","20182019","WSH",45,803,4,9,9,22,74,102,147,3.11,5.41,3.92,3.05,53,21,43,33,18,5,4,0,0,0,0,0
"JOHN.HAYDEN","F","20182019","CHI",33,303.93,2,1,0,3,21,36,52,2.62,9.52,5.56,7.28,18,50,39,3,6,3,2,1,1,1,11,-10
"JOHN.KLINGBERG","D","20182019","DAL",30,600.25,3,2,6,11,57,75,113,2.16,5.26,4,2.88,33,22,45,31,9,2,5,0,0,0,0,0
"JOHN.MOORE","D","20182019","BOS",42,699.48,0,4,3,7,59,70,102,1.85,0,0,2.64,49,55,77,11,5,9,7,0,0,0,0,0
"JOHNNY.BOYCHUK","D","20182019","NYI",45,710.3,2,3,4,9,94,134,183,2.71,2.13,1.49,2.02,45,92,76,27,4,1,4,1,1,0,0,0
"JOHNNY.GAUDREAU","F","20182019","CGY",48,780.23,21,15,7,43,123,162,203,12.46,17.07,12.96,7.69,4,3,30,56,38,3,17,0,0,0,1,-1
"JOHN.QUENNEVILLE","F","20182019","N.J",15,156.27,0,0,0,0,11,19,25,1.02,0,0,5.37,5,18,21,2,4,2,4,0,0,4,6,-2
"JOHN.TAVARES","F","20182019","TOR",46,705.45,22,11,5,38,117,153,192,13.12,18.8,14.38,8.58,22,27,62,32,29,10,13,0,0,355,318,37
"JONAS.BRODIN","D","20182019","MIN",47,839.2,3,2,5,10,53,67,112,1.67,5.66,4.48,2.49,60,32,59,13,15,9,4,0,0,0,0,0
"JONAS.SIEGENTHALER","D","20182019","WSH",19,246.73,0,2,2,4,7,16,28,0.31,0,0,1.94,29,20,26,13,1,3,0,0,0,0,0,0
"JONATHAN.DROUIN","F","20182019","MTL",48,656.98,8,11,2,21,91,113,146,6.32,8.79,7.08,5.59,19,31,27,22,32,7,8,0,1,11,25,-14
"JONATHAN.ERICSSON","D","20182019","DET",30,473.93,3,1,1,5,29,42,64,0.73,10.34,7.14,1.74,23,43,28,26,2,12,3,0,0,0,0,0
"JONATHAN.HUBERDEAU","F","20182019","FLA",45,647.95,6,15,4,25,79,108,134,7.31,7.59,5.56,6.77,27,28,35,34,22,4,9,0,0,3,5,-2
"JONATHAN.MARCHESSAULT","F","20182019","VGK",49,749.93,7,5,3,15,127,168,212,8.55,5.51,4.17,5.09,10,50,63,39,27,10,10,0,0,60,110,-50
"JONATHAN.TOEWS","F","20182019","CHI",49,724.32,12,10,3,25,78,100,132,8.37,15.38,12,8.37,13,16,69,22,35,7,12,0,0,412,324,88
"JON.MERRILL","D","20182019","VGK",28,423.18,1,1,3,5,34,51,73,1.19,2.94,1.96,2.33,30,28,83,13,7,7,1,1,1,0,0,0
"JOONAS.DONSKOI","F","20182019","S.J",49,620.53,13,3,5,21,69,90,110,8.95,18.84,14.44,9.94,23,28,78,19,19,3,11,0,0,1,8,-7
"JORDAN.EBERLE","F","20182019","NYI",42,546.6,6,5,4,15,61,88,101,6.69,9.84,6.82,7.6,17,24,60,11,17,5,4,0,0,3,5,-2
"JORDAN.GREENWAY","F","20182019","MIN",46,549.97,8,3,3,14,54,77,100,5.81,14.81,10.39,7.55,15,33,66,11,16,7,8,0,0,18,33,-15
"JORDAN.KYROU","F","20182019","STL",14,137.83,1,2,0,3,16,19,23,0.94,6.25,5.26,4.95,3,2,20,3,3,1,2,0,0,2,0,2
"JORDAN.MARTINOOK","F","20182019","CAR",46,581.28,7,2,0,9,82,121,151,11.28,8.54,5.79,9.32,22,113,75,10,23,8,9,0,0,32,32,0
"JORDAN.NOLAN","F","20182019","STL",12,84.97,0,1,1,2,11,17,20,0.46,0,0,2.71,3,19,0,0,1,2,0,0,0,0,0,0
"JORDAN.OESTERLE","D","20182019","ARI",37,570.8,2,1,3,6,39,63,99,1.49,5.13,3.17,2.37,64,22,55,22,8,3,1,0,0,0,0,0
"JORDAN.SCHMALTZ","D","20182019","STL",20,218.15,0,1,0,1,11,13,19,0.43,0,0,3.31,21,9,15,3,1,0,1,0,0,0,0,0
"JORDAN.STAAL","F","20182019","CAR",29,413.82,4,1,3,8,65,80,95,6.79,6.15,5,8.49,6,76,44,10,20,7,5,0,0,249,189,60
"JORDAN.WEAL","F","20182019","PHI",28,347.55,2,3,1,6,29,40,50,2.83,6.9,5,7.08,8,8,37,8,7,4,1,0,0,154,99,55
"JORDIE.BENN","D","20182019","MTL",47,700.93,2,3,5,10,38,58,95,1.13,5.26,3.45,1.95,62,75,69,40,6,7,2,1,1,0,0,0
"JORI.LEHTERA","F","20182019","PHI",26,190.58,1,1,0,2,16,17,20,1.3,6.25,5.88,7.65,7,23,25,4,4,9,3,0,0,62,52,10
"JOSH.ANDERSON","F","20182019","CBJ",46,616.15,11,2,4,17,111,152,182,9.69,9.91,7.24,6.38,19,111,48,9,19,12,11,2,2,2,7,-5
"JOSH.ARCHIBALD","F","20182019","ARI",32,355.12,3,2,2,7,31,46,59,3.4,9.68,6.52,7.39,18,69,50,3,6,2,1,1,1,5,8,-3
"JOSH.BAILEY","F","20182019","NYI",46,649.05,6,13,2,21,50,67,93,4.79,12,8.96,7.15,16,13,21,37,18,3,3,1,1,62,54,8
"JOSH.LEIVO","F","20182019","TOR",27,231.73,2,1,0,3,27,44,55,2.34,7.41,4.55,5.32,4,22,27,14,15,1,3,1,1,5,4,1
"JOSH.LEIVO","F","20182019","VAN",16,167.77,4,1,0,5,24,31,41,2.11,16.67,12.9,6.81,4,12,14,1,1,2,1,0,0,1,0,1
"JOSH.MAHURA","D","20182019","ANA",17,224.83,1,0,1,2,18,24,40,0.8,5.56,4.17,3.33,18,6,36,8,6,2,0,0,0,0,0,0
"JOSH.MANSON","D","20182019","ANA",44,849.63,3,6,1,10,57,71,107,2.54,5.26,4.23,3.58,40,101,51,37,16,17,5,1,1,0,0,0
"JOSH.MORRISSEY","D","20182019","WPG",45,803.45,2,5,8,15,69,91,128,3.02,2.9,2.2,3.32,67,38,48,21,25,5,3,0,0,0,0,0
"JOSHUA.HO-SANG","F","20182019","NYI",10,125.55,1,1,0,2,8,10,12,0.66,12.5,10,6.6,3,0,7,4,3,3,2,0,0,0,1,-1
"J.T..BROWN","F","20182019","MIN",34,296.85,1,1,2,4,37,43,58,2.31,2.7,2.33,5.37,6,66,24,2,11,6,3,0,0,4,10,-6
"J.T..COMPHER","F","20182019","COL",31,342.87,5,4,1,10,44,58,69,5.03,11.36,8.62,8.67,14,11,26,5,4,4,8,1,1,94,93,1
"J.T..MILLER","F","20182019","T.B",42,485.17,4,2,6,12,47,66,84,4.95,8.51,6.06,7.5,9,57,36,15,16,5,8,0,0,83,105,-22
"JUHO.LAMMIKKO","F","20182019","FLA",40,362.08,0,4,1,5,36,50,69,3.03,0,0,6.06,14,41,12,11,9,3,2,0,0,119,156,-37
"JUJHAR.KHAIRA","F","20182019","EDM",43,447.73,2,8,1,11,32,46,59,3.25,6.25,4.35,7.07,20,92,57,19,14,7,3,1,1,34,52,-18
"JULIUS.HONKA","D","20182019","DAL",29,374.38,0,4,0,4,37,46,62,1.52,0,0,3.3,29,15,54,24,4,5,3,0,0,0,1,-1
"JUSTIN.ABDELKADER","F","20182019","DET",48,646.72,2,2,5,9,56,84,101,6.77,3.57,2.38,8.06,19,113,49,29,4,6,5,2,2,32,27,5
"JUSTIN.BRAUN","D","20182019","S.J",45,773.32,1,5,5,11,62,90,130,1.76,1.61,1.11,1.96,56,65,80,30,15,6,2,0,0,0,0,0
"JUSTIN.DOWLING","F","20182019","DAL",6,70.9,0,1,0,1,4,7,13,0.77,0,0,11,3,6,9,2,3,0,0,0,0,10,12,-2
"JUSTIN.FALK","D","20182019","OTT",10,117.72,0,0,0,0,7,11,15,0.32,0,0,2.91,7,35,16,2,1,3,1,1,1,0,0,0
"JUSTIN.FAULK","D","20182019","CAR",46,769.85,1,8,2,11,89,119,172,3.25,1.12,0.84,2.73,51,71,39,26,17,12,3,0,0,0,0,0
"JUSTIN.WILLIAMS","F","20182019","CAR",46,614.17,6,6,4,16,87,112,136,9.37,6.9,5.36,8.37,10,34,67,39,26,9,10,0,0,17,34,-17
"JUUSO.RIIKOLA","D","20182019","PIT",23,351.52,0,0,1,1,28,34,55,0.97,0,0,2.85,26,50,48,11,8,4,2,0,0,0,0,0
"JUUSO.VALIMAKI","D","20182019","CGY",22,300.65,1,0,1,2,22,30,56,0.82,4.55,3.33,2.73,35,17,37,12,7,6,4,0,0,0,0,0
"KAILER.YAMAMOTO","F","20182019","EDM",14,172.8,1,0,0,1,10,16,19,1.31,10,6.25,8.19,10,13,20,3,3,0,3,0,0,0,0,0
"KALLE.KOSSILA","F","20182019","ANA",8,66.65,1,0,0,1,11,12,17,0.58,9.09,8.33,4.83,3,5,9,2,0,1,0,0,0,25,23,2
"KARL.ALZNER","D","20182019","MTL",9,135.52,0,1,0,1,7,11,18,0.14,0,0,1.27,9,13,22,6,1,1,1,0,0,0,0,0
"KASPERI.KAPANEN","F","20182019","TOR",46,639.25,14,8,5,27,88,128,164,11.08,15.91,10.94,8.66,7,46,47,20,20,6,4,0,0,2,1,1
"KEITH.YANDLE","D","20182019","FLA",45,782.78,1,4,4,9,69,91,134,1.96,1.45,1.1,2.15,34,21,14,38,3,8,7,0,0,0,0,0
"KENNY.AGOSTINO","F","20182019","MTL",33,335.32,2,1,4,7,32,46,58,2.31,6.25,4.35,5.02,3,77,35,9,11,4,2,1,1,6,11,-5
"KEVAN.MILLER","D","20182019","BOS",22,363.55,0,1,2,3,25,34,48,0.63,0,0,1.85,37,40,52,14,11,3,3,2,2,0,0,0
"KEVIN.CONNAUTON","D","20182019","ARI",33,525.97,0,0,2,2,48,79,123,1.69,0,0,2.14,41,56,44,16,3,9,5,0,0,0,0,0
"KEVIN.FIALA","F","20182019","NSH",49,621.52,7,11,3,21,75,118,149,7.77,9.33,5.93,6.58,9,22,42,35,23,7,4,0,0,2,2,0
